reading_id,sensor_id,site_id,sensor_type,timestamp,value,unit,ec_limit,is_exceedance,exceedance_pct_above_limit,weather_conditions,nearest_blast_time,dust_suppression_active
ENV00000081,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T08:00:00,6.9,pH,8.5,False,0,Clear,13:00,False
ENV00000082,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T09:00:00,7.2,pH,8.5,False,0,Hazy,13:00,True
ENV00000083,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T10:00:00,6.9,pH,8.5,False,0,Hazy,13:00,True
ENV00000084,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T11:00:00,7.7,pH,8.5,False,0,Clear,13:00,True
ENV00000085,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T12:00:00,7.5,pH,8.5,False,0,Windy,13:00,True
ENV00000086,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T13:00:00,7.7,pH,8.5,False,0,Hazy,13:00,True
ENV00000087,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T14:00:00,7.8,pH,8.5,False,0,Windy,13:00,True
ENV00000088,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T15:00:00,8.1,pH,8.5,False,0,Windy,13:00,True
ENV00000089,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T16:00:00,7.3,pH,8.5,False,0,Windy,13:00,True
ENV00000090,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T17:00:00,8.1,pH,8.5,False,0,Clear,13:00,False
ENV00000091,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T18:00:00,7.2,pH,8.5,False,0,Windy,13:00,False
ENV00000092,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T19:00:00,7.9,pH,8.5,False,0,Windy,13:00,True
ENV00000093,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T20:00:00,7.5,pH,8.5,False,0,Clear,13:00,True
ENV00000094,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T21:00:00,6.9,pH,8.5,False,0,Windy,13:00,False
ENV00000095,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T22:00:00,8.1,pH,8.5,False,0,Windy,13:00,False
ENV00000096,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T23:00:00,7.3,pH,8.5,False,0,Clear,13:00,True
ENV00000097,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T00:00:00,69.0,ug/m3,150,False,0,Clear,13:00,False
ENV00000098,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T01:00:00,75.5,ug/m3,150,False,0,Hazy,13:00,False
ENV00000099,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T02:00:00,65.7,ug/m3,150,False,0,Hazy,13:00,True
ENV00000100,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T03:00:00,46.5,ug/m3,150,False,0,Hazy,13:00,False
ENV00000101,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T04:00:00,64.3,ug/m3,150,False,0,Windy,13:00,True
ENV00000102,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T05:00:00,44.1,ug/m3,150,False,0,Windy,13:00,False
ENV00000103,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T06:00:00,40.2,ug/m3,150,False,0,Windy,13:00,True
ENV00000104,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T07:00:00,61.9,ug/m3,150,False,0,Clear,13:00,False
ENV00000105,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T08:00:00,66.1,ug/m3,150,False,0,Windy,13:00,True
ENV00000106,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T09:00:00,68.5,ug/m3,150,False,0,Hazy,13:00,True
ENV00000107,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T10:00:00,53.0,ug/m3,150,False,0,Clear,13:00,False
ENV00000108,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T11:00:00,66.0,ug/m3,150,False,0,Clear,13:00,False
ENV00000109,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T12:00:00,66.3,ug/m3,150,False,0,Clear,13:00,True
ENV00000110,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T13:00:00,43.7,ug/m3,150,False,0,Hazy,13:00,True
ENV00000111,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T14:00:00,50.6,ug/m3,150,False,0,Hazy,13:00,True
ENV00000112,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T15:00:00,78.9,ug/m3,150,False,0,Hazy,13:00,True
ENV00000113,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T16:00:00,75.7,ug/m3,150,False,0,Clear,13:00,False
ENV00000114,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T17:00:00,71.8,ug/m3,150,False,0,Clear,13:00,True
ENV00000115,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T18:00:00,63.1,ug/m3,150,False,0,Windy,13:00,True
ENV00000116,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T19:00:00,47.8,ug/m3,150,False,0,Windy,13:00,False
ENV00000117,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T20:00:00,51.2,ug/m3,150,False,0,Hazy,13:00,True
ENV00000118,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T21:00:00,65.8,ug/m3,150,False,0,Clear,13:00,True
ENV00000119,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T22:00:00,77.6,ug/m3,150,False,0,Windy,13:00,False
ENV00000120,SEN_SITE_B_PM2.5,SITE_B,PM2.5,2026-06-01T23:00:00,76.6,ug/m3,150,False,0,Hazy,13:00,True
ENV00000121,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T00:00:00,80.2,ug/m3,100,False,0,Hazy,13:00,False
ENV00000122,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T01:00:00,86.9,ug/m3,100,False,0,Windy,13:00,False
ENV00000123,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T02:00:00,95.4,ug/m3,100,False,0,Hazy,13:00,False
ENV00000124,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T03:00:00,84.7,ug/m3,100,False,0,Clear,13:00,True
ENV00000125,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T04:00:00,93.6,ug/m3,100,False,0,Hazy,13:00,True
ENV00000126,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T05:00:00,82.7,ug/m3,100,False,0,Clear,13:00,True
ENV00000127,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T06:00:00,95.0,ug/m3,100,False,0,Clear,13:00,False
ENV00000128,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T07:00:00,89.1,ug/m3,100,False,0,Windy,13:00,True
ENV00000129,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T08:00:00,89.8,ug/m3,100,False,0,Windy,13:00,False
ENV00000130,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T09:00:00,82.2,ug/m3,100,False,0,Windy,13:00,True
ENV00000131,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T10:00:00,94.0,ug/m3,100,False,0,Hazy,13:00,False
ENV00000132,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T11:00:00,91.2,ug/m3,100,False,0,Windy,13:00,False
ENV00000133,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T12:00:00,85.8,ug/m3,100,False,0,Windy,13:00,True
ENV00000134,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T13:00:00,92.9,ug/m3,100,False,0,Hazy,13:00,False
ENV00000135,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T14:00:00,93.9,ug/m3,100,False,0,Windy,13:00,False
ENV00000136,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T15:00:00,88.2,ug/m3,100,False,0,Hazy,13:00,True
ENV00000137,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T16:00:00,92.8,ug/m3,100,False,0,Hazy,13:00,False
ENV00000138,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T17:00:00,91.2,ug/m3,100,False,0,Clear,13:00,False
ENV00000139,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T18:00:00,94.2,ug/m3,100,False,0,Clear,13:00,True
ENV00000140,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T19:00:00,86.0,ug/m3,100,False,0,Windy,13:00,True
ENV00000141,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T20:00:00,89.3,ug/m3,100,False,0,Hazy,13:00,True
ENV00000142,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T21:00:00,87.4,ug/m3,100,False,0,Clear,13:00,True
ENV00000143,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T22:00:00,84.6,ug/m3,100,False,0,Clear,13:00,True
ENV00000144,SEN_SITE_B_PM10,SITE_B,PM10,2026-06-01T23:00:00,80.5,ug/m3,100,False,0,Clear,13:00,True
ENV00000145,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T00:00:00,78.5,dB,85,False,0,Clear,13:00,True
ENV00000146,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T01:00:00,64.5,dB,85,False,0,Windy,13:00,True
ENV00000147,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T02:00:00,77.4,dB,85,False,0,Clear,13:00,True
ENV00000148,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T03:00:00,74.5,dB,85,False,0,Windy,13:00,True
ENV00000149,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T04:00:00,63.0,dB,85,False,0,Hazy,13:00,True
ENV00000150,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T05:00:00,72.8,dB,85,False,0,Windy,13:00,False
ENV00000151,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T06:00:00,76.5,dB,85,False,0,Clear,13:00,False
ENV00000152,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T07:00:00,72.3,dB,85,False,0,Hazy,13:00,True
ENV00000153,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T08:00:00,77.9,dB,85,False,0,Hazy,13:00,True
ENV00000154,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T09:00:00,70.8,dB,85,False,0,Windy,13:00,True
ENV00000155,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T10:00:00,62.5,dB,85,False,0,Hazy,13:00,False
ENV00000156,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T11:00:00,78.7,dB,85,False,0,Windy,13:00,False
ENV00000157,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T12:00:00,70.2,dB,85,False,0,Hazy,13:00,True
ENV00000158,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T13:00:00,65.1,dB,85,False,0,Windy,13:00,True
ENV00000159,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T14:00:00,73.0,dB,85,False,0,Clear,13:00,False
ENV00000160,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T15:00:00,75.2,dB,85,False,0,Windy,13:00,True
ENV00000161,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T16:00:00,81.1,dB,85,False,0,Windy,13:00,False
ENV00000162,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T17:00:00,73.1,dB,85,False,0,Clear,13:00,False
ENV00000163,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T18:00:00,70.4,dB,85,False,0,Windy,13:00,True
ENV00000164,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T19:00:00,69.1,dB,85,False,0,Windy,13:00,False
ENV00000165,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T20:00:00,62.3,dB,85,False,0,Hazy,13:00,True
ENV00000166,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T21:00:00,62.9,dB,85,False,0,Windy,13:00,True
ENV00000167,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T22:00:00,79.1,dB,85,False,0,Hazy,13:00,False
ENV00000168,SEN_SITE_B_Noise,SITE_B,Noise,2026-06-01T23:00:00,71.5,dB,85,False,0,Clear,13:00,True
ENV00000169,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T00:00:00,7.5,pH,8.5,False,0,Hazy,13:00,True
ENV00000170,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T01:00:00,7.0,pH,8.5,False,0,Hazy,13:00,True
ENV00000171,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T02:00:00,7.4,pH,8.5,False,0,Clear,13:00,False
ENV00000172,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T03:00:00,7.7,pH,8.5,False,0,Hazy,13:00,True
ENV00000173,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T04:00:00,7.3,pH,8.5,False,0,Clear,13:00,False
ENV00000174,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T05:00:00,7.5,pH,8.5,False,0,Windy,13:00,False
ENV00000175,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T06:00:00,7.7,pH,8.5,False,0,Windy,13:00,True
ENV00000176,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T07:00:00,6.9,pH,8.5,False,0,Hazy,13:00,False
ENV00000177,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T08:00:00,6.8,pH,8.5,False,0,Windy,13:00,True
ENV00000178,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T09:00:00,8.1,pH,8.5,False,0,Clear,13:00,True
ENV00000179,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T10:00:00,7.3,pH,8.5,False,0,Windy,13:00,False
ENV00000180,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T11:00:00,7.4,pH,8.5,False,0,Clear,13:00,True
ENV00000181,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T12:00:00,8.1,pH,8.5,False,0,Windy,13:00,True
ENV00000182,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T13:00:00,8.1,pH,8.5,False,0,Hazy,13:00,False
ENV00000183,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T14:00:00,7.1,pH,8.5,False,0,Windy,13:00,True
ENV00000184,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T15:00:00,6.9,pH,8.5,False,0,Windy,13:00,True
ENV00000185,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T16:00:00,6.9,pH,8.5,False,0,Windy,13:00,False
ENV00000186,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T17:00:00,6.9,pH,8.5,False,0,Clear,13:00,True
ENV00000187,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T18:00:00,8.0,pH,8.5,False,0,Clear,13:00,True
ENV00000188,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T19:00:00,7.9,pH,8.5,False,0,Hazy,13:00,True
ENV00000189,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T20:00:00,7.0,pH,8.5,False,0,Clear,13:00,False
ENV00000190,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T21:00:00,7.7,pH,8.5,False,0,Windy,13:00,False
ENV00000191,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T22:00:00,7.8,pH,8.5,False,0,Windy,13:00,False
ENV00000192,SEN_SITE_B_Water_pH,SITE_B,Water_pH,2026-06-01T23:00:00,7.2,pH,8.5,False,0,Clear,13:00,True
ENV00000193,SEN_SITE_C_PM2.5,SITE_C,PM2.5,2026-06-01T00:00:00,70.0,ug/m3,150,False,0,Windy,13:00,False
